SKU,Наличност,Бройки,Цена
374120,Наличен,1537,1.50
374446,Наличен,96,2.50
374122,Наличен,61,1.80
374440,Наличен,32,1.80
374469,Наличен,219,2.20
920866,Наличен,12,2.00
920875,Наличен,39,1.90
372574,Изчерпан,0,1.30
372556,Наличен,56,1.70
372557,Наличен,31,1.70
923341,Наличен,20,7.60
925106,Наличен,5,5.60
376921,Наличен,200,1.90
374417,Наличен,16,1.90
376909,Наличен,48,1.80
925649,Наличен,131,1.50
934605,Наличен,187,1.90
925650,Наличен,151,1.80
932303,Наличен,10,4.30
932305,Наличен,44,4.50
932306,Наличен,17,4.10
932307,Наличен,34,4.30
933912,Наличен,2,12.30
938861,Наличен,3,9.60
949952,Изчерпан,0,9.80
958483,Наличен,6,9.80
940002,Наличен,1,9.80
958480,Наличен,2,9.80
929727,Наличен,1,2.20
942235,Наличен,34,1.60
942234,Наличен,120,4.10
942237,Наличен,71,2.90
942233,Наличен,31,2.00
943461,Наличен,13,6.90
943460,Наличен,10,7.80
943462,Наличен,2,6.80
943921,Изчерпан,0,12.70
944160,Наличен,4,26.00
942735,Наличен,45,1.80
942737,Наличен,155,1.50
942738,Наличен,349,1.90
942739,Изчерпан,0,2.20
942740,Наличен,152,1.90
942742,Наличен,57,2.50
942743,Изчерпан,0,2.60
942741,Наличен,1,1.50
942750,Наличен,114,1.80
942746,Изчерпан,0,2.00
942747,Наличен,132,2.00
942744,Наличен,78,2.60
958491,Изчерпан,0,13.80
942748,Наличен,3,4.80
947127,Изчерпан,0,23.90
949592,Наличен,5,8.30
949591,Наличен,2,20.20
940512,Наличен,6,10.90
949767,Наличен,8,9.80
958481,Наличен,2,9.80
949522,Изчерпан,0,11.80
949521,Изчерпан,0,11.80
949583,Наличен,5,6.80
939981,Изчерпан,0,9.80
939984,Наличен,7,9.60
940903,Наличен,5,8.50
944774,Наличен,7,8.50
948055,Наличен,10,7.80
942098,Наличен,12,10.20
949595,Наличен,3,5.60
946765,Наличен,1,20.30
946766,Наличен,14,20.30
949726,Наличен,9,9.80
951181,Наличен,8,8.80
951182,Наличен,10,11.20
951183,Наличен,3,10.00
951184,Наличен,5,10.60
945874,Наличен,8,27.30
923351,Изчерпан,0,3.60
923355,Наличен,86,7.00
923356,Наличен,124,6.60
921534,Наличен,68,4.20
376928,Наличен,20,4.20
920873,Наличен,13,4.20
376931,Наличен,18,4.20
923347,Наличен,1,2.90
920867,Наличен,16,4.80
920868,Наличен,10,4.80
376933,Наличен,1,4.80
376934,Наличен,9,4.80
925669,Наличен,24,4.60
376935,Наличен,84,4.80
924512,Наличен,1,1.70
924517,Наличен,25,1.70
924516,Наличен,22,1.70
929351,Наличен,12,1.70
929352,Наличен,1,1.70
934610,Наличен,25,3.20
954221,Изчерпан,0,11.50
954222,Изчерпан,0,11.50
954223,Изчерпан,0,11.50
954224,Изчерпан,0,11.50
947136,Изчерпан,0,9.50
947137,Изчерпан,0,9.50
947138,Изчерпан,0,9.50
949582,Наличен,4,11.50
940483,Наличен,1,8.30
940484,Наличен,7,8.30
944944,Наличен,2,8.30
950225,Изчерпан,0,9.50
950400,Наличен,8,13.30
951311,Наличен,2,8.90
950396,Наличен,5,8.90
944945,Наличен,1,8.80
950398,Наличен,1,6.20
920459,Наличен,67,20.20
920460,Наличен,48,22.50
924897,Изчерпан,0,17.50
924898,Изчерпан,0,18.20
952440,Наличен,10,22.30
950147,Наличен,3,46.90
950227,Наличен,2,126.00
950402,Наличен,12,16.30
950690,Изчерпан,0,98.00
950691,Наличен,1,118.00
950750,Наличен,5,46.90
949823,Изчерпан,0,11.80
942713,Наличен,4,11.80
950875,Наличен,3,11.80
949769,Наличен,1,23.50
949770,Наличен,5,23.50
940294,Наличен,9,25.40
940062,Наличен,5,30.90
950871,Наличен,8,18.60
935084,Наличен,10,8.90
922211,Наличен,79,52.00
944154,Наличен,1,440.00
945873,Изчерпан,0,125.00
949917,Изчерпан,0,1056.00
950482,Изчерпан,0,153.00
951016,Наличен,4,31.30
950692,Наличен,1,35.30
951017,Наличен,3,37.20
951811,Наличен,5,48.90
950401,Наличен,1,80.00
943931,Наличен,1,56.70
943925,Наличен,3,60.60
951015,Наличен,3,69.00
949924,Наличен,2,37.20
944659,Изчерпан,0,46.90
374158,Наличен,2,8.90
922687,Наличен,21,6.50
932741,Изчерпан,0,16.40
932742,Изчерпан,0,16.40
932743,Изчерпан,0,16.40
932744,Наличен,43,7.30
932745,Наличен,50,7.30
932746,Наличен,47,7.30
932747,Наличен,52,7.30
932748,Наличен,108,3.80
932749,Наличен,94,3.80
932750,Наличен,98,3.80
941290,Изчерпан,0,23.60
941291,Наличен,5,23.90
941292,Изчерпан,0,23.10
941293,Изчерпан,0,23.10
941294,Наличен,3,31.90
941296,Наличен,3,31.90
941298,Наличен,6,31.90
941299,Наличен,2,154.00
944482,Наличен,4,26.30
946825,Изчерпан,0,29.10
949409,Наличен,53,14.50
949410,Наличен,55,14.50
949407,Наличен,44,14.50
949408,Наличен,91,14.50
949411,Наличен,95,68.00
949403,Наличен,55,17.50
949404,Наличен,71,17.50
949405,Наличен,25,17.50
949406,Наличен,69,17.50
951461,Наличен,77,17.50
932735,Наличен,198,15.20
932737,Наличен,188,10.90
932739,Наличен,168,20.30
932740,Наличен,172,23.20
937154,Изчерпан,0,37.80
940674,Наличен,15,283.00
939734,Наличен,73,19.60
939736,Наличен,32,19.80
939737,Наличен,121,12.90
939733,Наличен,39,148.00
945290,Наличен,9,186.00
939738,Наличен,136,13.80
939735,Наличен,44,145.00
945291,Наличен,12,172.00
942156,Изчерпан,0,1643.00
943192,Изчерпан,0,72.00
944555,Наличен,6,153.00
947574,Наличен,1,705.00
947831,Изчерпан,0,880.00
947338,Изчерпан,0,152.30
949402,Наличен,6,215.00
950585,Наличен,2,142.00
950686,Наличен,5,142.00
950685,Наличен,3,558.00
950589,Наличен,2,695.00
949208,Наличен,88,142.00
949209,Наличен,82,178.00
949210,Наличен,37,139.00
943935,Наличен,4,108.00
952018,Наличен,3,108.00
943963,Наличен,2,108.00
943932,Изчерпан,0,108.00
943939,Наличен,1,108.00
943947,Изчерпан,0,108.00
943927,Наличен,2,469.00
943928,Наличен,3,362.00
949398,Наличен,2,46.90
949824,Наличен,1,39.20
949825,Изчерпан,0,39.20
949217,Наличен,1,39.20
942028,Наличен,1,39.20
949218,Наличен,3,39.20
949768,Изчерпан,0,39.20
950687,Наличен,1,39.20
940445,Изчерпан,0,842.00
954238,Наличен,1,899.00
942702,Наличен,2,412.00
950046,Наличен,2,59.00
960424,Наличен,146,14.90
960425,Наличен,150,14.90
960426,Наличен,162,16.90
960419,Наличен,44,18.60
960420,Наличен,45,9.50
960421,Наличен,42,9.50
960422,Наличен,29,12.90
933958,Наличен,125,166.00
957610,Наличен,4,232.00
956289,Изчерпан,0,237.00
940110,Изчерпан,0,122.00
941668,Наличен,92,218.00
946021,Наличен,121,133.00
946022,Наличен,142,209.00
946023,Наличен,115,222.00
946821,Наличен,2,162.00
955054,Наличен,132,125.00
951233,Наличен,20,385.00
951232,Наличен,87,370.00
951231,Наличен,106,249.00
951236,Наличен,18,223.00
961958,Изчерпан,0,179.00
940054,Наличен,2,179.00
951234,Наличен,107,250.00
946025,Наличен,7,55.00
949237,Изчерпан,0,372.00
947290,Наличен,1,88.00
943946,Изчерпан,0,37.50
942998,Наличен,1,45.00
943937,Изчерпан,0,158.00
947046,Наличен,1,79.00
947047,Наличен,2,45.00
944198,Изчерпан,0,158.00
943943,Наличен,3,128.00
943936,Изчерпан,0,79.00
929389,Изчерпан,0,163.00
956582,Изчерпан,0,95.00
929523,Наличен,261,39.20
938398,Изчерпан,0,10.30
929670,Изчерпан,0,72.00
929669,Изчерпан,0,136.00
942381,Наличен,1,138.00
943819,Наличен,3,245.00
942182,Наличен,1,205.00
946358,Наличен,2,215.00
951164,Наличен,1,1526.00
944481,Наличен,1,726.00
947851,Наличен,2,302.00
949916,Изчерпан,0,802.00
949840,Наличен,1,892.00
261418,Наличен,223,30.80
261419,Наличен,138,22.90
261420,Наличен,319,27.50
261416,Наличен,229,18.90
261417,Наличен,267,19.50
942610,Наличен,1,282.00
943818,Наличен,2,342.00
944499,Наличен,1,2099.00
945824,Изчерпан,0,568.00
949786,Наличен,1,489.00
949785,Изчерпан,0,362.00
947016,Изчерпан,0,165.00
947017,Наличен,3,186.00
947411,Изчерпан,0,469.00
949916,Изчерпан,0,802.00
940885,Изчерпан,0,269.00
942431,Изчерпан,0,422.00
950168,Наличен,769,15.20
950167,Наличен,55,12.30
960242,Наличен,23,23.20
948097,Наличен,59,63.00
953400,Наличен,551,18.80
957852,Наличен,94,122.00
957856,Наличен,40,130.00
957853,Наличен,48,138.00
957854,Наличен,48,123.00
957858,Наличен,52,98.00
957851,Наличен,55,106.00
957857,Наличен,47,62.00
957850,Наличен,30,66.00
957861,Наличен,50,75.00
921326,Наличен,52,60.00
261319,Наличен,41,12.90
261302,Наличен,56,58.00
261303,Наличен,59,65.00
261304,Наличен,2,66.00
261342,Наличен,50,58.00
261343,Наличен,66,65.00
923334,Наличен,55,102.00
954954,Наличен,103,105.00
923335,Наличен,66,116.00
929834,Наличен,26,46.50
934893,Наличен,10,166.80
929278,Наличен,11,179.20
932661,Изчерпан,0,62.10
935314,Наличен,2,126.00
936730,Наличен,34,115.00
952694,Наличен,69,26.90
937917,Наличен,135,28.30
937918,Изчерпан,0,31.20
940391,Наличен,2,196.00
941976,Изчерпан,0,114.60
941441,Изчерпан,0,103.00
959195,Наличен,2,100.00
941143,Наличен,3,105.00
951022,Наличен,90,109.00
935315,Наличен,51,133.00
261331,Наличен,3,130.00
948100,Наличен,62,120.00
948101,Изчерпан,0,123.00
953609,Наличен,6,205.00
957790,Наличен,3,165.00
957791,Наличен,2,188.00
957893,Наличен,1,225.00
957890,Изчерпан,0,283.00
955681,Изчерпан,0,79.00
950390,Наличен,48,88.00
100918,Наличен,5,51.90
954953,Изчерпан,0,79.00
261314,Изчерпан,0,86.00
956386,Наличен,85,93.00
261315,Наличен,58,108.00
952695,Наличен,119,36.50
952696,Наличен,67,39.50
936995,Изчерпан,0,9.80
946874,Изчерпан,0,24.50
942584,Наличен,130,10.20
942583,Наличен,85,12.50
942582,Наличен,122,15.50
942581,Наличен,143,17.20
942580,Наличен,156,18.20
942170,Наличен,2,40.50
935862,Наличен,3,26.50
954952,Наличен,66,49.50
261313,Наличен,88,55.90
956387,Наличен,68,59.00
261327,Наличен,75,60.00
261323,Изчерпан,0,19.60
261322,Наличен,38,31.90
261306,Наличен,137,36.30
261308,Наличен,10,23.90
261310,Наличен,36,31.50
261321,Наличен,3,26.10
261320,Наличен,49,34.20
920328,Наличен,2,50.80
261328,Наличен,7,72.00
261329,Изчерпан,0,58.00
261330,Наличен,6,60.00
261333,Наличен,34,15.80
920329,Наличен,47,15.30
920312,Наличен,51,57.30
920326,Изчерпан,0,26.00
920327,Наличен,12,37.00
920316,Наличен,33,39.90
925489,Изчерпан,0,96.00
936639,Наличен,110,76.60
929847,Наличен,39,34.20
929838,Наличен,43,43.90
957988,Наличен,14,46.90
261311,Изчерпан,0,38.00
925488,Наличен,9,42.50
925487,Наличен,57,52.00
261326,Наличен,81,44.30
261325,Наличен,65,55.00
261324,Наличен,62,55.00
261332,Наличен,37,28.90
921356,Наличен,45,34.90
932968,Наличен,10,34.90
932969,Наличен,58,49.50
930494,Наличен,19,89.00
930495,Наличен,26,90.00
932660,Наличен,80,66.40
935196,Изчерпан,0,123.00
936163,Изчерпан,0,10.00
936164,Наличен,22,10.50
936165,Наличен,79,11.00
936163,Изчерпан,0,10.00
939607,Наличен,269,15.70
939608,Наличен,179,18.60
941610,Наличен,3,58.00
954029,Наличен,1,62.00
942838,Наличен,1,205.00
941614,Наличен,2,25.50
942439,Наличен,216,65.00
945544,Наличен,20,14.50
944507,Наличен,62,39.90
950965,Наличен,160,10.90
924899,Наличен,49,11.50
922380,Наличен,342,4.20
922381,Наличен,66,18.80
922383,Наличен,65,20.90
947936,Изчерпан,0,23.90
949236,Наличен,2,21.50
946431,Наличен,108,75.00
948060,Наличен,10,83.00
948200,Наличен,7,82.00
948201,Изчерпан,0,43.50
948202,Наличен,13,49.30
948203,Изчерпан,0,59.00
948204,Изчерпан,0,58.00
950042,Наличен,1,53.00
950357,Наличен,28,43.50
950358,Наличен,116,46.50
950954,Наличен,59,26.00
950878,Наличен,32,129.00
951021,Наличен,86,23.90
951251,Наличен,56,95.00
929844,Наличен,64,37.00
950051,Изчерпан,0,176.00
951170,Изчерпан,0,65.00
100927,Наличен,25,37.80
100928,Наличен,13,27.80
932273,Наличен,5,21.00
932274,Наличен,4,32.30
932256,Наличен,10,54.00
932257,Наличен,11,56.00
932275,Наличен,9,42.80
934015,Наличен,6,21.00
939031,Наличен,9,70.00
943193,Наличен,2,39.90
943929,Изчерпан,0,17.90
942837,Изчерпан,0,23.20
943865,Изчерпан,0,35.00
944293,Наличен,7,42.80
947139,Изчерпан,0,138.00
948369,Наличен,1,98.00
949399,Наличен,2,29.30
949780,Наличен,3,35.20
948126,Наличен,5,38.50
261335,Наличен,64,37.00
261338,Наличен,17,38.90
261341,Наличен,82,56.00
261339,Наличен,36,41.90
261334,Изчерпан,0,62.20
920313,Наличен,64,44.50
920310,Наличен,12,47.20
920311,Наличен,15,51.90
921325,Наличен,59,52.90
923336,Изчерпан,0,50.00
923337,Наличен,18,62.00
929848,Наличен,52,47.60
261317,Наличен,3,62.40
931678,Изчерпан,0,42.50
931679,Изчерпан,0,46.20
931680,Изчерпан,0,53.00
924353,Наличен,6,119.00
928803,Наличен,7,146.00
928805,Наличен,2,49.00
928806,Наличен,1,66.00
928807,Наличен,11,35.00
932002,Наличен,3,69.30
933599,Наличен,2,172.00
937919,Наличен,96,39.00
939090,Наличен,15,56.70
939091,Наличен,11,66.90
939053,Наличен,8,126.00
938316,Наличен,2,112.00
941211,Изчерпан,0,53.10
941318,Наличен,3,16.80
941316,Наличен,2,34.20
941320,Наличен,2,82.70
936729,Наличен,27,81.10
943950,Наличен,1,75.00
942438,Наличен,42,41.30
939612,Изчерпан,0,230.00
944231,Наличен,50,26.90
944232,Наличен,39,30.20
944508,Наличен,3,81.10
960793,Наличен,1,63.00
960803,Наличен,2,31.50
960774,Наличен,3,37.50
960959,Наличен,2,65.00
950484,Наличен,1,153.00
950486,Наличен,3,45.00
950487,Наличен,2,53.00
950546,Наличен,1,59.00
960800,Наличен,3,25.50
950590,Наличен,2,145.00
950749,Наличен,2,49.00
950553,Наличен,54,48.60
100907,Наличен,18,7.20
100908,Наличен,125,2.60
100909,Наличен,127,6.80
100911,Наличен,37,5.90
100912,Наличен,61,4.20
100920,Наличен,73,19.50
100921,Наличен,33,14.80
100924,Наличен,66,19.50
